[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:07] [INFO] STARTING OPENALEX FACULTY RESEARCH JSON EXTRACTION PIPELINE
[2026-09-19 19:24:07] [INFO] Target Sheet: Master - All Live Verified
[2026-09-19 19:24:07] [INFO] Destination:  d:\Others\findprofs\openalex_mechaero_faculty_json\universities_wise
[2026-09-19 19:24:07] [INFO] Date Filter:  2023-01-01 to 2026-06-30 (Mid-2026)
[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:08] [INFO] Total verified faculty members with valid OpenAlex ID: 787
[2026-09-19 19:24:08] [INFO] Running multi-threaded harvesting pool with 5 workers...
[2026-09-19 19:25:21] [INFO] [ 65/787] (  8.3%) [SAVED] Colin R. Meyer            | Dartmouth College         | Works: 187, Cites:  1468, h-index: 23 | Speed: 0.9 profs/s | ETA: 13.6m
[2026-09-19 19:25:23] [INFO] [ 66/787] (  8.4%) [SAVED] Laura Ray                 | Dartmouth College         | Works: 133, Cites:  2474, h-index: 24 | Speed: 0.9 profs/s | ETA: 13.7m
[2026-09-19 19:25:23] [INFO] [ 67/787] (  8.5%) [SAVED] Mary Albert               | Dartmouth College         | Works: 193, Cites:  4629, h-index: 39 | Speed: 0.9 profs/s | ETA: 13.5m
[2026-09-19 19:25:23] [INFO] [ 68/787] (  8.6%) [SAVED] Alexander Fridman         | Drexel University         | Works: 425, Cites: 22267, h-index: 66 | Speed: 0.9 profs/s | ETA: 13.3m
[2026-09-19 19:25:24] [INFO] [ 69/787] (  8.8%) [SAVED] Yan Li                    | Dartmouth College         | Works: 1404, Cites: 42536, h-index: 97 | Speed: 0.9 profs/s | ETA: 13.2m
[2026-09-19 19:25:25] [INFO] [ 70/787] (  8.9%) [SAVED] Hongseok Moses Noh        | Drexel University         | Works:  55, Cites:  1156, h-index: 18 | Speed: 0.9 profs/s | ETA: 13.2m
[2026-09-19 19:25:27] [INFO] [ 71/787] (  9.0%) [SAVED] Earl H. Dowell            | Duke University           | Works: 805, Cites: 23457, h-index: 72 | Speed: 0.9 profs/s | ETA: 13.4m
[2026-09-19 19:25:27] [INFO] [ 72/787] (  9.1%) [SAVED] James Tangorra            | Drexel University         | Works:  65, Cites:  1845, h-index: 18 | Speed: 0.9 profs/s | ETA: 13.2m
[2026-09-19 19:25:28] [INFO] [ 73/787] (  9.3%) [SAVED] Sorin Siegler             | Drexel University         | Works: 166, Cites:  7124, h-index: 34 | Speed: 0.9 profs/s | ETA: 13.0m
[2026-09-19 19:25:28] [INFO] [ 74/787] (  9.4%) [SAVED] Kenneth C. Hall           | Duke University           | Works: 218, Cites:  8314, h-index: 46 | Speed: 0.9 profs/s | ETA: 12.9m
[2026-09-19 19:25:29] [INFO] [ 75/787] (  9.5%) [SAVED] Wilkins Aquino            | Duke University           | Works: 144, Cites:  1704, h-index: 23 | Speed: 0.9 profs/s | ETA: 12.9m
[2026-09-19 19:25:31] [INFO] [ 76/787] (  9.7%) [SAVED] Lawrie Virgin             | Duke University           | Works:   6, Cites:     2, h-index:  1 | Speed: 0.9 profs/s | ETA: 13.0m
[2026-09-19 19:25:32] [INFO] [ 77/787] (  9.8%) [SAVED] Bavand Keshavarz          | Duke University           | Works:  65, Cites:  1133, h-index: 16 | Speed: 0.9 profs/s | ETA: 12.9m
[2026-09-19 19:25:33] [INFO] [ 78/787] (  9.9%) [SAVED] William Engblom           | Embry-Riddle Aeronautical | Works:   1, Cites:    26, h-index:  1 | Speed: 0.9 profs/s | ETA: 12.9m
[2026-09-19 19:25:33] [INFO] [ 79/787] ( 10.0%) [SAVED] Michael Zavlanos          | Duke University           | Works: 225, Cites:  5979, h-index: 40 | Speed: 0.9 profs/s | ETA: 12.7m
[2026-09-19 19:25:33] [INFO] [ 80/787] ( 10.2%) [SAVED] Anouck Girard             | Embry-Riddle Aeronautical | Works: 346, Cites:  4569, h-index: 34 | Speed: 0.9 profs/s | ETA: 12.6m
[2026-09-19 19:25:36] [INFO] [ 81/787] ( 10.3%) [SAVED] Eric Perrell              | Embry-Riddle Aeronautical | Works:  23, Cites:    80, h-index:  4 | Speed: 0.9 profs/s | ETA: 12.8m
[2026-09-19 19:25:36] [INFO] [ 82/787] ( 10.4%) [SAVED] Andrea Da Ronch           | Embry-Riddle Aeronautical | Works: 178, Cites:  2671, h-index: 24 | Speed: 0.9 profs/s | ETA: 12.6m
[2026-09-19 19:25:36] [INFO] [ 83/787] ( 10.5%) [SAVED] Hever Moncayo             | Embry-Riddle Aeronautical | Works:   1, Cites:     3, h-index:  1 | Speed: 0.9 profs/s | ETA: 12.5m
[2026-09-19 19:25:37] [INFO] [ 84/787] ( 10.7%) [SAVED] Troy Henderson            | Embry-Riddle Aeronautical | Works:   2, Cites:     0, h-index:  0 | Speed: 0.9 profs/s | ETA: 12.4m
[2026-09-19 19:25:37] [INFO] [ 85/787] ( 10.8%) [SAVED] Chelakara S. Subramanian  | Florida Institute of Tech | Works: 110, Cites:  1287, h-index: 18 | Speed: 0.9 profs/s | ETA: 12.4m
[2026-09-19 19:25:40] [INFO] [ 86/787] ( 10.9%) [SAVED] Reza Jahanbakhshi         | Florida Institute of Tech | Works:  46, Cites:   693, h-index: 16 | Speed: 0.9 profs/s | ETA: 12.5m
[2026-09-19 19:25:40] [INFO] [ 87/787] ( 11.1%) [SAVED] Daniel Kirk               | Florida Institute of Tech | Works:  31, Cites:   605, h-index:  8 | Speed: 0.9 profs/s | ETA: 12.4m
[2026-09-19 19:25:41] [INFO] [ 88/787] ( 11.2%) [SAVED] Kibaek Lee                | Florida Institute of Tech | Works:  84, Cites:  2345, h-index: 23 | Speed: 0.9 profs/s | ETA: 12.3m
[2026-09-19 19:25:41] [INFO] [ 89/787] ( 11.3%) [SAVED] Camilo Riano-Rios         | Florida Institute of Tech | Works:  12, Cites:    89, h-index:  4 | Speed: 1.0 profs/s | ETA: 12.2m
[2026-09-19 19:25:42] [INFO] [ 90/787] ( 11.4%) [SAVED] Madhur Tiwari             | Florida Institute of Tech | Works:  32, Cites:    92, h-index:  5 | Speed: 1.0 profs/s | ETA: 12.2m
[2026-09-19 19:25:45] [INFO] [ 91/787] ( 11.6%) [SAVED] Manasvi Lingam            | Florida Institute of Tech | Works: 157, Cites:  2179, h-index: 28 | Speed: 0.9 profs/s | ETA: 12.4m
