Faculty Name,University,Department,OpenAlex ID,Reason,Top Topics,Sample Landmark Paper
David Olson,Michigan State University,Department of Mechanical Engineering,A5044286863,ZERO_AERO_OR_FLUIDS_MATCH,Regulation of Appetite and Obesity | Biochemical Analysis and Sensing Techniques | Advanced Materials Characterization Techniques,Osteoblastic cells regulate the haematopoietic stem cell niche
Zhaojian Li,Michigan State University,Department of Mechanical Engineering,A5037274043,ZERO_AERO_OR_FLUIDS_MATCH,Traffic control and management | Autonomous Vehicle Technology and Safety | Advanced Control Systems Optimization,Multi-Agent Deep Reinforcement Learning for Large-Scale Traffic Signal Control
Susanta Ghosh,Michigan Technological University,Department of Mechanical and Aerospace Engineering,A5012521601,ZERO_AERO_OR_FLUIDS_MATCH,Carbon Nanotubes in Composites | Machine Learning in Materials Science | Numerical methods in engineering,A novel sequential method to train physics informed neural networks for Allen Cahn and Cahn Hilliard equations
Yaofa Li,Montana State University,Department of Mechanical & Industrial Engineering,A5051282109,ZERO_AERO_OR_FLUIDS_MATCH,Enhanced Oil Recovery Techniques | Lattice Boltzmann Simulation Studies | Heat and Mass Transfer in Porous Media,BEARING CONDITION DIAGNOSTICS VIA VIBRATION AND ACOUSTIC EMISSION MEASUREMENTS
Pushpendra Singh,New Jersey Institute of Technology,Department of Mechanical and Industrial Engineering,A5028236116,ZERO_AERO_OR_FLUIDS_MATCH,Mycobacterium research and diagnosis | Nuclear physics research studies | Smart Grid Energy Management,A new formulation of the distributed Lagrange multiplier/fictitious domain method for particulate flows
Qiong Liu,New Mexico State University,Department of Mechanical and Aerospace Engineering,A5100336311,ZERO_AERO_OR_FLUIDS_MATCH,Selenium in Biological Systems | Trace Elements in Health | Alzheimer's disease research and treatments,Changes of volatile compounds and odor profiles in Wuyi rock tea during processing
Yan Zhang,North Dakota State University,Department of Mechanical Engineering,A5100459168,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Image and Video Retrieval Techniques | Domain Adaptation and Few-Shot Learning | Advanced Neural Network Applications,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Yechun Wang,North Dakota State University,Department of Mechanical Engineering,A5008472420,ZERO_AERO_OR_FLUIDS_MATCH,Petroleum Processing and Analysis | Corrosion Behavior and Inhibition | Subcritical and Supercritical Water Processes,Free-standing and mechanically flexible mats consisting of electrospun carbon nanofibers made from a natural product of alkali lignin as binder-free electrodes for high-performance supercapacitors
Brian Wisner,Ohio University,Department of Mechanical Engineering,A5070352118,ZERO_AERO_OR_FLUIDS_MATCH,Non-Destructive Testing Techniques | Ultrasonics and Acoustic Wave Propagation | Fatigue and fracture mechanics,Investigation of the Z-binder role in progressive damage of 3D woven composites
David Quiroz,Ohio University,Department of Mechanical Engineering,A5103256094,ZERO_AERO_OR_FLUIDS_MATCH,Algal biology and biofuel production | Membrane Separation Technologies | Biofuel production and bioconversion,Driving toward sustainable algal fuels: A harmonization of techno-economic and life cycle assessments
Yahya Al-Majali,Ohio University,Department of Mechanical Engineering,A5081633426,ZERO_AERO_OR_FLUIDS_MATCH,Fiber-reinforced polymer composites | Advancements in Battery Materials | Graphene research and applications,Formation of Amorphous Carbon Multi‐Walled Nanotubes from Random Initial Configurations
Alexey Shashurin,Purdue University,School of Aeronautics and Astronautics,A5021284477,ZERO_AERO_OR_FLUIDS_MATCH,Plasma Diagnostics and Applications | Plasma Applications and Diagnostics | Vacuum and Plasma Arcs,Cold plasma selectivity and the possibility of a paradigm shift in cancer therapy
Guang Lin,Purdue University,Department of Mathematics / School of Mechanical Engineering,A5078138445,ZERO_AERO_OR_FLUIDS_MATCH,Model Reduction and Neural Networks | Probabilistic and Robust Engineering Design | Gaussian Processes and Bayesian Inference,EEG-based emotion recognition using 4D convolutional recurrent neural network
Haifeng Wang,Purdue University,School of Aeronautics and Astronautics,A5100386408,ZERO_AERO_OR_FLUIDS_MATCH,Catalytic Processes in Materials Science | Electrocatalysts for Energy Conversion | Advanced Photocatalysis Techniques,Creation of a needle of longitudinally polarized light in vacuum using binary optics
Lu Zhang,Rice University,Department of Computational Applied Mathematics and Operations Research,A5100388599,ZERO_AERO_OR_FLUIDS_MATCH,Hydrology and Watershed Management Studies | Plant Water Relations and Carbon Dynamics | Flood Risk Assessment and Management,Response of mean annual evapotranspiration to vegetation changes at catchment scale
Matthias Heinkenschloss,Rice University,Department of Computational Applied Mathematics and Operations Research,A5070192811,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Numerical Methods in Computational Mathematics | Model Reduction and Neural Networks | Advanced Optimization Algorithms Research,Shape optimization in steady blood flow: A numerical study of non-Newtonian effects
Pol D. Spanos,Rice University,Department of Mechanical Engineering,A5110431873,ZERO_AERO_OR_FLUIDS_MATCH,Probabilistic and Robust Engineering Design | Structural Health Monitoring Techniques | Seismic Performance and Analysis,Stochastic Finite Elements: A Spectral Approach
Assimina A. Pelegri,Rutgers University-New Brunswick,Department of Mechanical and Aerospace Engineering,A5026532047,ZERO_AERO_OR_FLUIDS_MATCH,Mechanical Behavior of Composites | Elasticity and Material Modeling | Automotive and Human Injury Biomechanics,Numerical generation of a random chopped fiber composite RVE and its elastic properties
Hao Lin,Rutgers University-New Brunswick,Department of Mechanical and Aerospace Engineering,A5041539298,ZERO_AERO_OR_FLUIDS_MATCH,Machine Learning in Bioinformatics | RNA and protein synthesis mechanisms | Genomics and Phylogenetic Studies,iRSpot-PseDNC: identify recombination spots with pseudo dinucleotide composition
Jingang Yi,Rutgers University-New Brunswick,Department of Mechanical and Aerospace Engineering,A5090869394,ZERO_AERO_OR_FLUIDS_MATCH,Vehicle Dynamics and Control Systems | Robotic Locomotion and Control | Prosthetics and Rehabilitation Robotics,Kinematic Modeling and Analysis of Skid-Steered Mobile Robots With Applications to Low-Cost Inertial-Measurement-Unit-Based Motion Estimation
Liping Liu,Rutgers University-New Brunswick,Department of Mathematics / Department of Mechanical and Aerospace Engineering,A5100352454,ZERO_AERO_OR_FLUIDS_MATCH,Acute Ischemic Stroke Management | Cerebrovascular and Carotid Artery Diseases | Intracerebral and Subarachnoid Hemorrhage Research,Identification of a unique TGF-β–dependent molecular and functional signature in microglia
Eric Darve,Stanford University,Department of Mechanical Engineering / ICME,A5061822097,ZERO_AERO_OR_FLUIDS_MATCH,Electromagnetic Scattering and Analysis | Matrix Theory and Algorithms | Model Reduction and Neural Networks,Calculating free energies using average force
Amit K. Sanyal,Syracuse University,Department of Mechanical and Aerospace Engineering,A5079524565,ZERO_AERO_OR_FLUIDS_MATCH,Adaptive Control of Nonlinear Systems | Inertial Sensor and Navigation | Control and Dynamics of Mobile Robots,Rigid-Body Attitude Control
Bing Dong,Syracuse University,Department of Mechanical and Aerospace Engineering,A5050035609,ZERO_AERO_OR_FLUIDS_MATCH,Building Energy and Comfort Optimization | Smart Grid Energy Management | Wind and Air Flow Studies,Applying support vector machines to predict building energy consumption in tropical region
Yeqing Wang,Syracuse University,Department of Mechanical and Aerospace Engineering,A5064144710,ZERO_AERO_OR_FLUIDS_MATCH,Lightning and Electromagnetic Phenomena | Electrical Fault Detection and Protection | Cellular and Composite Structures,Forms of Soil Phosphorus in Selected Hydrologic Units of the Florida Everglades
Damoon Soudbakhsh,Temple University,Department of Mechanical Engineering,A5035570579,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Battery Technologies Research | Advancements in Battery Materials | Vehicle Dynamics and Control Systems,The impact of lightweighting and battery technologies on the sustainability of electric vehicles: A comprehensive life cycle assessment
Haijun Liu,Temple University,Department of Mechanical Engineering,A5100652355,ZERO_AERO_OR_FLUIDS_MATCH,Photosynthetic Processes and Mechanisms | Algal biology and biofuel production | Photoreceptor and optogenetics research,Phycobilisomes Supply Excitations to Both Photosystems in a Megacomplex in Cyanobacteria
Mohammad F. Kiani,Temple University,Department of Mechanical Engineering,A5011547126,ZERO_AERO_OR_FLUIDS_MATCH,"Cell Adhesion Molecules Research | Angiogenesis and VEGF in Cancer | Neutrophil, Myeloperoxidase and Oxidative Mechanisms","Classification, Treatment Strategy, and Associated Drug Resistance in Breast Cancer"
Parsaoran Hutapea,Temple University,Department of Mechanical Engineering,A5071236120,ZERO_AERO_OR_FLUIDS_MATCH,Soft Robotics and Applications | Shape Memory Alloy Transformations | Surgical Sutures and Adhesives,A model to predict deflection of bevel-tipped active needle advancing in soft tissue
Philip Dames,Temple University,Department of Mechanical Engineering,A5070031738,ZERO_AERO_OR_FLUIDS_MATCH,Target Tracking and Data Fusion in Sensor Networks | Robotics and Sensor-Based Localization | Distributed Control Multi-Agent Systems,A Survey on Aerial Swarm Robotics
Dugan Um,Texas A&M University-Corpus Christi,Department of Engineering,A5055158183,ZERO_AERO_OR_FLUIDS_MATCH,Robotic Path Planning Algorithms | Manufacturing Process and Optimization | Robotics and Sensor-Based Localization,A modularized sensitive skin for motion planning in uncertain environments
Hua Zhang,Texas A&M University-Corpus Christi,Department of Engineering,A5100408669,ZERO_AERO_OR_FLUIDS_MATCH,2D Materials and Applications | Electrocatalysts for Energy Conversion | Advanced Photocatalysis Techniques,The chemistry of two-dimensional layered transition metal dichalcogenide nanosheets
Jose Baca,Texas A&M University-Corpus Christi,Department of Engineering,A5068841661,ZERO_AERO_OR_FLUIDS_MATCH,Modular Robots and Swarm Intelligence | Micro and Nano Robotics | Optimization and Search Problems,ModRED: Hardware design and reconfiguration planning for a high dexterity modular self-reconfigurable robot for extra-terrestrial exploration
Philippe Tissot,Texas A&M University-Corpus Christi,Department of Engineering / Conrad Blucher Institute,A5034844392,ZERO_AERO_OR_FLUIDS_MATCH,Coastal and Marine Dynamics | Oceanographic and Atmospheric Processes | Meteorological Phenomena and Simulations,β phase and γ−β metal-insulator transition in multiferroic BiFeO3
Hong Zhou,Texas A&M University-Kingsville,Department of Mechanical and Industrial Engineering,A5035298559,ZERO_AERO_OR_FLUIDS_MATCH,Metal-Organic Frameworks: Synthesis and Applications | X-ray Diffraction in Crystallography | Crystallization and Solubility Studies,Selective gas adsorption and separation in metal–organic frameworks
Selahattin Ozcelik,Texas A&M University-Kingsville,Department of Mechanical and Industrial Engineering,A5006553853,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Control Systems Optimization | Adaptive Control of Nonlinear Systems | Wind Energy Research and Development,Review on Dynamics of Offshore Floating Wind Turbine Platforms
Diego Turo,The Catholic University of America,Department of Mechanical Engineering,A5066827008,ZERO_AERO_OR_FLUIDS_MATCH,Underwater Acoustics Research | Acoustic Wave Phenomena Research | Seismic Waves and Analysis,Dry Needling Alters Trigger Points in the Upper Trapezius Muscle and Reduces Pain in Subjects With Chronic Myofascial Pain
Xiaolong Luo,The Catholic University of America,Department of Mechanical Engineering,A5030247401,ZERO_AERO_OR_FLUIDS_MATCH,3D Printing in Biomedical Research | Microfluidic and Bio-sensing Technologies | Innovative Microfluidic and Catalytic Techniques Innovation,Chitosan: an integrative biomaterial for lab-on-a-chip devices
George Biros,The University of Texas at Austin,Walker Department of Mechanical Engineering / Oden Institute,A5044137409,ZERO_AERO_OR_FLUIDS_MATCH,Electromagnetic Scattering and Analysis | Advanced Numerical Methods in Computational Mathematics | Medical Image Segmentation Techniques,A kernel-independent adaptive fast multipole algorithm in two and three dimensions
Deborah Ann Sunter,Tufts University,Department of Mechanical Engineering,A5015483872,ZERO_AERO_OR_FLUIDS_MATCH,Energy and Environment Impacts | Social Acceptance of Renewable Energy | Electric Power System Optimization,City-integrated renewable energy for urban sustainability
Igor Sokolov,Tufts University,Department of Mechanical Engineering,A5043516298,ZERO_AERO_OR_FLUIDS_MATCH,Force Microscopy Techniques and Applications | Cellular Mechanics and Interactions | Mesoporous Materials and Catalysis,A comparison of methods to assess cell mechanical properties
Ryan T. Glasser,Tulane University,Department of Physics and Engineering Physics,A5062235827,ZERO_AERO_OR_FLUIDS_MATCH,Quantum Information and Cryptography | Quantum optics and atomic interactions | Quantum Mechanics and Applications,Stimulated Generation of Superluminal Light Pulses via Four-Wave Mixing
Pasquale Cinnella,University of Alabama at Birmingham,Department of Mechanical and Materials Engineering,A5107872274,ZERO_AERO_OR_FLUIDS_MATCH,Spinal Fractures and Fixation Techniques | Scoliosis diagnosis and treatment | Spine and Intervertebral Disc Pathology,Surgical treatment of osteoporotic thoraco-lumbar compressive fractures: the use of pedicle screw with augmentation PMMA
David Jensen,University of Arkansas,Department of Mechanical Engineering,A5006681132,ZERO_AERO_OR_FLUIDS_MATCH,Bayesian Modeling and Causal Inference | Data Mining Algorithms and Applications | Complex Network Analysis Techniques,MaxProp: Routing for Vehicle-Based Disruption-Tolerant Networks
