university,name,author_id,works_count,cited_by_count,h_index,primary_topic,top_topics
Texas Tech University,M. Kristiansen,A5045668248,476,4252,31,Gyrotron and Vacuum Electronics Research,Gyrotron and Vacuum Electronics Research | Pulsed Power Technology Applications | Electromagnetic Launch and Propulsion Technology
University of Cincinnati,W. Tabakoff,A5109151121,285,4239,29,Particle Dynamics in Fluid Flows,Particle Dynamics in Fluid Flows | Erosion and Abrasive Machining | Turbomachinery Performance and Optimization
Clemson University,Tomas McKelvey,A5008266977,328,4230,29,Control Systems and Identification,Control Systems and Identification | Structural Health Monitoring Techniques | Advanced Combustion Engine Technologies
University of Delaware,Richard Braun,A5024381980,237,4222,32,Ocular Surface and Contact Lens,Ocular Surface and Contact Lens | Fluid Dynamics and Thin Films | Liquid Crystal Research Advancements
Louisiana State University,Jader R. Barbosa,A5041426283,329,4215,34,Heat Transfer and Boiling Studies,Heat Transfer and Boiling Studies | Heat Transfer and Optimization | Magnetic and transport properties of perovskites and related materials
University of Wyoming,Stefan Heinz,A5023046646,305,4211,34,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Wind and Air Flow Studies | Aerodynamics and Acoustics in Jet Flows
University of Dayton,Joshua S. Heyne,A5040847387,121,4119,31,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Rocket and propulsion systems research | Heat transfer and supercritical fluids
Southern Methodist University,Thomas Hagstrom,A5009161299,170,4005,32,Electromagnetic Simulation and Numerical Methods,Electromagnetic Simulation and Numerical Methods | Advanced Numerical Methods in Computational Mathematics | Electromagnetic Scattering and Analysis
Old Dominion University,C. E. Grosch,A5113952665,163,3984,32,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Computational Fluid Dynamics and Aerodynamics | Oceanographic and Atmospheric Processes
University of Maine,J. Stuart Bolton,A5063803562,467,3927,29,Acoustic Wave Phenomena Research,Acoustic Wave Phenomena Research | Vehicle Noise and Vibration Control | Aerodynamics and Acoustics in Jet Flows
Missouri University of Science and Technology,Dimitri Feys,A5018487486,126,3901,32,Innovations in Concrete and Construction Materials,Innovations in Concrete and Construction Materials | Concrete and Cement Materials Research | Innovative concrete reinforcement materials
The University of Texas at El Paso,Chuan Xiao,A5090377305,205,3894,29,Energetic Materials and Combustion,Energetic Materials and Combustion | Thermal and Kinetic Analysis | Bacteriophages and microbial interactions
New Jersey Institute of Technology,David C. Venerus,A5046699858,123,3881,31,Rheology and Fluid Dynamics Studies,Rheology and Fluid Dynamics Studies | Polymer crystallization and properties | Material Dynamics and Properties
Southern Methodist University,José Luis Caramés Lage,A5076306069,184,3861,34,Heat and Mass Transfer in Porous Media,Heat and Mass Transfer in Porous Media | Nanofluid Flow and Heat Transfer | Heat Transfer and Optimization
Rensselaer Polytechnic Institute,William D. Henshaw,A5111584732,164,3818,36,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Advanced Numerical Methods in Computational Mathematics | Electromagnetic Simulation and Numerical Methods
Texas Tech University,J. Dickens,A5021866631,527,3755,29,Pulsed Power Technology Applications,Pulsed Power Technology Applications | Gyrotron and Vacuum Electronics Research | Particle accelerators and beam dynamics
University of Wyoming,Jonathan Naughton,A5038476460,260,3749,22,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Wind and Air Flow Studies | Fluid Dynamics and Vibration Analysis
Missouri University of Science and Technology,Guang Xu,A5090681940,199,3746,37,Coal Properties and Utilization,Coal Properties and Utilization | Combustion and Detonation Processes | Aerosol Filtration and Electrostatic Precipitation
University of Rhode Island,Jimmie C. Oxley,A5047475381,173,3712,32,Energetic Materials and Combustion,Energetic Materials and Combustion | Mass Spectrometry Techniques and Applications | Thermal and Kinetic Analysis
Drexel University,Nicolas J. Alvarez,A5077438335,179,3700,35,Rheology and Fluid Dynamics Studies,Rheology and Fluid Dynamics Studies | Polymer crystallization and properties | Additive Manufacturing and 3D Printing Technologies
Brigham Young University,Andrew Ning,A5066505573,207,3696,34,Wind Energy Research and Development,Wind Energy Research and Development | Wind and Air Flow Studies | Fluid Dynamics and Turbulent Flows
University of Wisconsin-Milwaukee,Krishna M. Pillai,A5039294207,133,3653,35,Epoxy Resin Curing Processes,Epoxy Resin Curing Processes | Composite Material Mechanics | Lattice Boltzmann Simulation Studies
Clemson University,John R. Wagner,A5007939390,427,3591,31,Refrigeration and Air Conditioning Technologies,Refrigeration and Air Conditioning Technologies | Hydraulic and Pneumatic Systems | Vehicle Dynamics and Control Systems
University of Massachusetts-Lowell,David O. Kazmer,A5069634331,324,3487,28,Injection Molding Process and Properties,Injection Molding Process and Properties | Manufacturing Process and Optimization | Additive Manufacturing and 3D Printing Technologies
University of Massachusetts-Lowell,Ramaswamy Nagarajan,A5102721719,135,3464,32,Conducting polymers and applications,Conducting polymers and applications | Electrochemical sensors and biosensors | Flame retardant materials and properties
University of Mississippi,Shan Jiang,A5088544295,181,3461,29,High-Velocity Impact and Material Behavior,High-Velocity Impact and Material Behavior | Metal-Organic Frameworks: Synthesis and Applications | Microstructure and mechanical properties
